PGDP_ID Provider_ID Provider Genus Species Origin Sex callset_index C_origin
PD_0740 39978_RY_10 "Rogers " Papio anubis "Gog Woreda, Gambella region, Ethiopia" M 163 "Gog Woreda, Gambella region, Ethiopia"
PD_0741 39979_RY_11 "Rogers " Papio anubis "Gog Woreda, Gambella region, Ethiopia" M 164 "Gog Woreda, Gambella region, Ethiopia"
PD_0742 39980_RY_12 "Rogers " Papio anubis "Gog Woreda, Gambella region, Ethiopia" M 165 "Gog Woreda, Gambella region, Ethiopia"
PD_0743 39981_RY_13 "Rogers " Papio anubis "Gog Woreda, Gambella region, Ethiopia" M 166 "Gog Woreda, Gambella region, Ethiopia"
PD_0744 39984_RY_16 "Rogers " Papio anubis "Gog Woreda, Gambella region, Ethiopia" F 167 "Gog Woreda, Gambella region, Ethiopia"
PD_0745 16084_5012 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 168 "Mikumi, Tanzania"
PD_0746 16087_5015 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 169 "Mikumi, Tanzania"
PD_0747 16092_5021 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 170 "Mikumi, Tanzania"
PD_0748 16104_9004 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 171 "Mikumi, Tanzania"
PD_0749 34373_BZ11016 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 172 "Chunga, Zambia"
PD_0750 34374_BZ11017 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 173 "Chunga, Zambia"
PD_0751 34375_BZ11018 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 174 "Chunga, Zambia"
PD_0752 16049_3114 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 175 "Mikumi, Tanzania"
PD_0753 16103_7001 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 176 "Mikumi, Tanzania"
PD_0754 16071_4001 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 177 "Mikumi, Tanzania"
PD_0755 16075_4005 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 178 "Mikumi, Tanzania"
PD_0756 16080_5004 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 179 "Mikumi, Tanzania"
PD_0757 16082_5009 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 180 "Mikumi, Tanzania"
PD_0758 34424_BZ11072 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 181 "Chunga, Zambia"
PD_0759 34426_BZ11074 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 182 "Chunga, Zambia"
PD_0760 34427_BZ11075 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" F 183 "Chunga, Zambia"
PD_0761 16169_IK02 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 184 "Mikumi, Tanzania"
PD_0762 16170_IK03 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 185 "Mikumi, Tanzania"
PD_0763 15972_KZ01 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 186 "Mikumi, Tanzania"
PD_0764 15973_KZ03 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 187 "Mikumi, Tanzania"
PD_0765 15974_KZ04 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 188 "Mikumi, Tanzania"
PD_0766 15975_KZ05 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 189 "Mikumi, Tanzania"
PD_0767 15977_KZ07 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 190 "Mikumi, Tanzania"
PD_0768 15978_KZ08 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 191 "Mikumi, Tanzania"
PD_0769 15989_1005 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 192 "Mikumi, Tanzania"
PD_0770 16059_3124 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 193 "Mikumi, Tanzania"
PD_0771 16002_2004 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 194 "Mikumi, Tanzania"
PD_0772 16006_2008 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 195 "Mikumi, Tanzania"
PD_0773 16008_2010 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 196 "Mikumi, Tanzania"
PD_0774 16035_3003 "Rogers " Papio cynocephalus "Mikumi, Tanzania" F 197 "Mikumi, Tanzania"
PD_0775 16074_4004 "Rogers " Papio cynocephalus "Mikumi, Tanzania" M 198 "Mikumi, Tanzania"
PD_0776 34376_BZ11019 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 199 "Chunga, Zambia"
PD_0777 34385_BZ11029 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 200 "Chunga, Zambia"
PD_0778 34390_BZ11034 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 201 "Chunga, Zambia"
PD_0779 34391_BZ11035 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 202 "Chunga, Zambia"
PD_0780 34393_BZ11037 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 203 "Chunga, Zambia"
PD_0781 34394_BZ11038 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" F 204 "Chunga, Zambia"
PD_0782 34395_BZ11039 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 205 "Chunga, Zambia"
PD_0783 34396_BZ11040 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 206 "Chunga, Zambia"
PD_0784 34397_BZ11041 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 207 "Chunga, Zambia"
PD_0785 34407_BZ11053 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 208 "Chunga, Zambia"
PD_0786 34408_BZ11054 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" M 209 "Chunga, Zambia"
